114,魚板,food2,,,20,18.2,,0.04,1.86,2.64,9.6,178.8,2.6,2.6,17.6,0.02,0.04,1271125075,1271125075
116,洋蔥,food3,,洋菜炒蛋.jpg,80,32.8,,0.32,0.8,7.2,120,0,20,8.8,24,0.24,0.16,1271125075,1271125075
117,雞蛋,food2,,,20,28.4,,1.98,2.42,0.06,24.6,27,6,2.2,37,0.36,0.24,1271125075,1271125075
119,金線魚,food2,,炸金線魚.jpg,100,196,,12.6,19.3,--,398,70,267,290,43,1.3,1.1,1271125075,1271125075
121,大排(豬),food2,,炸豬排.jpg,100,214,,14.7,19.1,-,318,55,28,19,204,1.2,2.5,1271125075,1271125075
123,(肉雞),food2,,炸雞排.jpg,100,102,,0.4,23,-,324,57,1,28,215,0.3,0.5,1271125075,1271125075
125,鱈魚,food2,,炸鱈魚.jpg,100,103,,0.1,23.9,0,441,41,3,42,331,2.4,0.5,1271125075,1271125075
128,大里肌(豬),food2,,,10,18.7,,1.02,2.22,0,35.9,3.5,0.1,2.3,3.8,0.06,0.17,1271125075,1271125075
131,紅白素蒟蒻,food3,,,0,0,,0,0,0,0,0,0,0,0,0,0,1271125075,1271125075
133,胡蘿蔔,food3,,胡蘿蔔炒蛋.jpg,80,30.4,,0.4,0.88,6.24,232,63.2,24,12.8,41.6,0.32,0.24,1271125075,1271125075
136,雞蛋,food2,,茄汁炒蛋.jpg,100,142,,9.9,12.1,0.3,123,135,30,11,185,1.8,1.2,1271125075,1271125075
137,蕃茄醬,food3,,,10,11.3,,0.01,0.16,2.67,39.2,111.6,1.1,2.1,4.9,0.08,0.02,1271125075,1271125075
142,蕃茄,food3,,蕃茄炒豆包.jpg,80,28,,1.04,1.12,4.32,144,13.6,13.6,8,16.8,0.48,0.16,1271125075,1271125075
143,日式炸豆皮,food2,,,20,77,,6.48,3.84,0.98,27.4,0.2,58.4,11.8,73.6,0.5,0.38,1271125075,1271125075
145,菜豆,food3,,炒菜豆.jpg,100,30,,0.1,2.2,6.1,160,3,27,29,42,0.8,0.6,1271125075,1271125075
147,韭菜花,food3,,韭菜炒蟹肉絲.jpg,80,22.4,,0.24,1.6,4.16,160,5.6,16.8,10.4,28,0.32,0.24,1271125075,1271125075
148,蟹味棒,food2,,,20,23,,0.06,1.86,3.8,13.8,138.8,18,3.4,57,0.1,0.06,1271125075,1271125075
